Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
116,1000000,0.62,0.14,0.24,26,12045,1333551
117,1000000,0.61,0.14,0.24,32,11928,1334019
118,1000000,0.60,0.14,0.24,26,12067,1333215
119,1000000,0.65,0.14,0.24,23,12649,1333199
120,1000000,0.64,0.14,0.24,23,12323,1334087
121,1000000,0.62,0.14,0.24,42,11817,1333223
122,1000000,0.64,0.14,0.24,22,11986,1333515
123,1000000,0.63,0.14,0.24,30,12242,1333103
124,1000000,0.64,0.14,0.24,25,11749,1332693
125,1000000,0.62,0.14,0.24,23,12647,1333111
126,1000000,0.64,0.14,0.24,18,11751,1333147
127,1000000,0.62,0.14,0.24,24,12279,1333549
128,1000000,0.63,0.14,0.24,19,12121,1332691
129,1000000,0.62,0.14,0.24,24,12408,1332231
130,1000000,0.61,0.14,0.24,22,11413,1333589
131,1000000,0.62,0.14,0.26,30,12161,1333211
132,1000000,0.64,0.14,0.24,13,12019,1332529
133,1000000,0.61,0.14,0.24,32,12643,1333501
134,1000000,0.63,0.14,0.24,21,12432,1333793
135,1000000,0.64,0.14,0.24,19,12016,1332961
136,1000000,0.62,0.14,0.25,27,11784,1332829
137,1000000,0.61,0.14,0.25,28,11696,1333481
138,1000000,0.65,0.14,0.25,33,12183,1333389
139,1000000,0.64,0.14,0.24,27,12157,1333587
140,1000000,0.63,0.14,0.24,30,11979,1333341
141,1000000,0.64,0.14,0.24,26,12082,1332947
142,1000000,0.63,0.14,0.24,24,12142,1333763
143,1000000,0.64,0.14,0.24,24,12031,1332959
144,1000000,0.67,0.14,0.24,32,12570,1333461
145,1000000,0.63,0.14,0.24,26,12306,1333541
146,1000000,0.65,0.14,0.24,28,12301,1333227
147,1000000,0.61,0.14,0.24,26,12329,1333535
148,1000000,0.62,0.14,0.24,27,12041,1333985
149,1000000,0.63,0.14,0.24,27,12304,1334009
150,1000000,0.62,0.14,0.24,28,12453,1333761
151,1000000,0.62,0.14,0.24,21,12427,1333945
152,1000000,0.63,0.14,0.24,30,11963,1333457
153,1000000,0.62,0.14,0.24,14,12040,1332851
154,1000000,0.64,0.14,0.24,26,12143,1333417
155,1000000,0.63,0.14,0.24,28,12125,1333741
156,1000000,0.63,0.14,0.24,31,12218,1333175
157,1000000,0.63,0.14,0.24,19,12325,1332785
158,1000000,0.65,0.14,0.24,28,12492,1333435
159,1000000,0.63,0.14,0.24,25,11584,1333087
160,1000000,0.62,0.14,0.24,22,12409,1333371
161,1000000,0.61,0.14,0.26,22,11899,1333609
162,1000000,0.62,0.14,0.24,33,11862,1333365
163,1000000,0.62,0.14,0.24,25,12514,1333251
164,1000000,0.61,0.14,0.24,26,12262,1333741
165,1000000,0.62,0.14,0.24,21,11958,1333997
166,1000000,0.61,0.14,0.24,25,12115,1332959
167,1000000,0.64,0.14,0.24,23,11973,1333427
168,1000000,0.62,0.14,0.24,22,12309,1332963
169,1000000,0.62,0.14,0.24,13,12178,1332881
170,1000000,0.61,0.14,0.25,25,12077,1333205
171,1000000,0.62,0.14,0.24,22,11205,1333879
172,1000000,0.64,0.14,0.24,19,12191,1334309
173,1000000,0.62,0.14,0.24,18,11517,1333685
174,1000000,0.62,0.14,0.24,30,12319,1333163
