Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
1,100,0.01,0.00,0.00,9,24,137
2,100,0.00,0.00,0.00,12,27,135
3,100,0.00,0.00,0.00,9,31,125
4,100,0.00,0.00,0.00,9,39,135
5,100,0.00,0.00,0.00,7,26,135
6,100,0.00,0.00,0.00,6,53,133
7,100,0.00,0.00,0.00,8,30,133
8,100,0.00,0.00,0.00,7,31,139
9,100,0.00,0.00,0.00,7,35,129
10,100,0.00,0.00,0.00,11,32,133
11,100,0.00,0.00,0.00,7,29,133
12,100,0.00,0.00,0.00,11,41,131
13,100,0.00,0.00,0.00,6,41,125
14,100,0.00,0.00,0.00,7,47,129
15,100,0.00,0.00,0.00,8,40,135
16,100,0.00,0.00,0.00,6,35,133
17,100,0.00,0.00,0.00,8,40,133
18,100,0.00,0.00,0.00,5,28,135
19,100,0.00,0.00,0.00,7,44,127
20,100,0.00,0.00,0.00,8,42,133
21,100,0.00,0.00,0.00,8,34,133
22,100,0.00,0.00,0.00,8,31,125
23,100,0.00,0.00,0.00,8,42,129
24,100,0.00,0.00,0.00,6,35,127
25,100,0.00,0.00,0.00,7,32,125
26,100,0.00,0.00,0.00,6,39,133
27,100,0.00,0.00,0.00,5,43,131
28,100,0.00,0.00,0.00,5,35,133
29,100,0.00,0.00,0.00,5,39,133
30,100,0.00,0.00,0.00,6,47,135
31,100,0.00,0.00,0.00,6,31,125
32,100,0.00,0.00,0.00,6,36,131
33,100,0.00,0.00,0.00,9,37,139
34,100,0.00,0.00,0.00,7,44,133
35,100,0.00,0.00,0.00,10,34,129
36,100,0.00,0.00,0.00,7,31,141
37,100,0.00,0.00,0.00,10,23,135
38,100,0.00,0.00,0.00,5,33,141
39,100,0.00,0.00,0.00,14,34,141
40,100,0.00,0.00,0.00,8,39,139
41,100,0.00,0.00,0.00,7,30,127
42,100,0.00,0.00,0.00,5,33,131
43,100,0.00,0.00,0.00,7,39,133
44,100,0.00,0.00,0.00,11,40,125
45,100,0.00,0.00,0.00,8,30,133
46,100,0.00,0.00,0.00,5,27,133
47,100,0.00,0.00,0.00,12,37,127
48,100,0.00,0.00,0.00,8,39,129
49,100,0.00,0.00,0.00,8,41,141
50,100,0.00,0.00,0.00,5,35,129
51,100,0.00,0.00,0.00,3,35,139
52,100,0.00,0.00,0.00,4,38,133
53,100,0.00,0.00,0.00,12,38,127
54,100,0.00,0.00,0.00,11,36,135
55,100,0.00,0.00,0.00,7,31,135
56,100,0.00,0.00,0.00,9,32,133
57,100,0.00,0.00,0.00,8,39,131
58,100,0.00,0.00,0.00,7,23,139
59,100,0.00,0.00,0.00,13,40,133
60,100,0.00,0.00,0.00,11,31,137
61,100,0.00,0.00,0.00,9,37,129
62,100,0.00,0.00,0.00,6,39,141
63,100,0.00,0.00,0.00,8,34,139
64,100,0.00,0.00,0.00,8,29,143
65,100,0.00,0.00,0.00,5,34,139
66,100,0.00,0.00,0.00,10,41,131
67,100,0.00,0.00,0.00,5,27,133
68,100,0.00,0.00,0.00,9,36,135
69,100,0.00,0.00,0.00,8,23,131
70,100,0.00,0.00,0.00,4,35,133
