Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
1,100000,0.07,0.02,0.03,23,2524,133453
2,100000,0.07,0.01,0.02,17,2621,133489
3,100000,0.08,0.01,0.02,17,2700,133019
4,100000,0.07,0.01,0.02,14,2683,133521
5,100000,0.07,0.01,0.02,24,2559,133337
6,100000,0.08,0.01,0.02,17,2570,133333
7,100000,0.07,0.01,0.02,23,2735,133433
8,100000,0.07,0.01,0.02,24,2848,133305
9,100000,0.07,0.01,0.02,28,2685,133367
10,100000,0.07,0.01,0.02,21,2918,133391
11,100000,0.07,0.01,0.02,18,2795,133519
12,100000,0.10,0.02,0.02,20,2920,133057
13,100000,0.07,0.01,0.02,25,2707,133393
14,100000,0.07,0.01,0.02,18,2839,133477
15,100000,0.07,0.01,0.02,19,2818,133491
16,100000,0.07,0.01,0.02,24,2765,133477
17,100000,0.07,0.01,0.02,21,2886,133157
18,100000,0.07,0.01,0.02,21,2730,133421
19,100000,0.08,0.02,0.02,24,2823,133285
20,100000,0.08,0.01,0.02,29,2874,133169
21,100000,0.08,0.01,0.02,21,2569,133591
22,100000,0.07,0.01,0.02,26,2681,133335
23,100000,0.07,0.01,0.02,13,2898,133119
24,100000,0.08,0.02,0.02,17,2722,133751
25,100000,0.07,0.01,0.02,21,2695,133339
26,100000,0.07,0.01,0.02,27,2395,133287
27,100000,0.08,0.01,0.02,22,2724,133049
28,100000,0.09,0.01,0.02,14,2697,133509
29,100000,0.07,0.01,0.02,16,2748,133517
30,100000,0.07,0.01,0.02,17,2946,133423
31,100000,0.12,0.01,0.02,22,2636,133345
32,100000,0.08,0.01,0.02,20,2660,133357
33,100000,0.08,0.01,0.02,17,2695,133537
34,100000,0.07,0.01,0.02,15,2227,133311
35,100000,0.07,0.02,0.02,21,2736,133481
36,100000,0.08,0.01,0.02,24,2828,133425
37,100000,0.07,0.01,0.02,15,2514,133579
38,100000,0.07,0.01,0.02,20,2757,133405
39,100000,0.28,0.01,0.02,15,2720,133529
40,100000,0.08,0.01,0.02,23,2603,133551
41,100000,0.07,0.01,0.02,27,2781,133233
42,100000,0.07,0.01,0.02,28,2565,133243
43,100000,0.07,0.01,0.02,24,2751,133289
44,100000,0.09,0.01,0.02,18,2872,132951
