Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
1,1000,0.01,0.00,0.00,13,135,1353
2,1000,0.00,0.00,0.00,9,204,1359
3,1000,0.00,0.00,0.00,11,220,1341
4,1000,0.00,0.00,0.00,12,184,1325
5,1000,0.00,0.00,0.00,12,204,1337
6,1000,0.00,0.00,0.00,15,197,1355
7,1000,0.00,0.00,0.00,11,180,1337
8,1000,0.00,0.00,0.00,6,196,1327
9,1000,0.00,0.00,0.00,12,164,1337
10,1000,0.00,0.00,0.00,9,181,1355
11,1000,0.00,0.00,0.00,15,161,1309
12,1000,0.00,0.00,0.00,17,176,1341
13,1000,0.00,0.00,0.00,13,175,1331
14,1000,0.00,0.00,0.00,15,138,1319
15,1000,0.00,0.00,0.00,11,188,1313
16,1000,0.00,0.00,0.00,15,199,1343
17,1000,0.00,0.00,0.00,16,190,1323
18,1000,0.00,0.00,0.00,14,202,1343
19,1000,0.00,0.00,0.00,13,250,1319
20,1000,0.00,0.00,0.00,6,165,1327
21,1000,0.00,0.00,0.00,8,173,1329
22,1000,0.00,0.00,0.00,11,196,1335
23,1000,0.00,0.00,0.00,6,166,1345
24,1000,0.00,0.00,0.00,14,208,1343
25,1000,0.00,0.00,0.00,12,187,1333
26,1000,0.00,0.00,0.00,7,191,1329
27,1000,0.00,0.00,0.00,14,187,1351
28,1000,0.00,0.00,0.00,11,171,1351
29,1000,0.00,0.00,0.00,10,132,1335
30,1000,0.00,0.00,0.00,15,206,1351
31,1000,0.00,0.00,0.00,11,180,1325
32,1000,0.00,0.00,0.00,9,191,1335
33,1000,0.00,0.00,0.00,14,160,1363
34,1000,0.00,0.00,0.00,9,174,1329
35,1000,0.00,0.00,0.00,11,186,1347
36,1000,0.00,0.00,0.00,8,150,1341
37,1000,0.00,0.00,0.00,10,165,1345
38,1000,0.00,0.00,0.00,17,162,1337
39,1000,0.00,0.00,0.00,10,154,1337
40,1000,0.00,0.00,0.00,12,197,1335
41,1000,0.00,0.00,0.00,10,187,1373
42,1000,0.00,0.00,0.00,16,148,1317
43,1000,0.00,0.00,0.00,9,165,1329
44,1000,0.00,0.00,0.00,13,173,1337
45,1000,0.00,0.00,0.00,15,170,1321
46,1000,0.00,0.00,0.00,9,172,1329
47,1000,0.00,0.00,0.00,5,175,1347
48,1000,0.00,0.00,0.00,6,189,1331
49,1000,0.00,0.00,0.00,10,161,1319
50,1000,0.00,0.00,0.00,7,184,1299
51,1000,0.00,0.00,0.00,20,197,1335
52,1000,0.00,0.00,0.00,8,199,1313
53,1000,0.00,0.00,0.00,10,183,1351
54,1000,0.00,0.00,0.00,13,188,1315
55,1000,0.00,0.00,0.00,9,185,1327
56,1000,0.00,0.00,0.00,13,200,1317
57,1000,0.00,0.00,0.00,6,191,1315
58,1000,0.00,0.00,0.00,12,203,1327
59,1000,0.00,0.00,0.00,16,148,1331
60,1000,0.00,0.00,0.00,13,176,1329
61,1000,0.00,0.00,0.00,9,182,1333
62,1000,0.00,0.00,0.00,8,197,1327
63,1000,0.00,0.00,0.00,9,172,1329
64,1000,0.00,0.00,0.00,12,180,1321
65,1000,0.00,0.00,0.00,6,172,1339
66,1000,0.00,0.00,0.00,13,212,1331
67,1000,0.00,0.00,0.00,15,176,1305
68,1000,0.00,0.00,0.00,10,164,1329
69,1000,0.00,0.00,0.00,13,121,1347
70,1000,0.00,0.00,0.00,13,190,1333
71,1000,0.00,0.00,0.00,16,192,1333
72,1000,0.00,0.00,0.00,11,196,1327
73,1000,0.00,0.00,0.00,11,173,1341
74,1000,0.00,0.00,0.00,11,154,1343
75,1000,0.00,0.00,0.00,13,191,1313
76,1000,0.00,0.00,0.00,12,202,1347
77,1000,0.00,0.00,0.00,9,172,1335
78,1000,0.00,0.00,0.00,14,177,1315
79,1000,0.00,0.00,0.00,16,185,1317
80,1000,0.00,0.00,0.00,8,196,1327
81,1000,0.00,0.00,0.00,8,208,1325
82,1000,0.00,0.00,0.00,11,179,1351
83,1000,0.00,0.00,0.00,13,157,1323
84,1000,0.00,0.00,0.00,16,186,1325
85,1000,0.00,0.00,0.00,13,199,1333
86,1000,0.00,0.00,0.00,11,172,1329
87,1000,0.00,0.00,0.00,9,178,1359
88,1000,0.00,0.00,0.00,9,204,1353
89,1000,0.00,0.00,0.00,12,176,1353
90,1000,0.00,0.00,0.00,11,179,1351
91,1000,0.00,0.00,0.00,14,195,1333
92,1000,0.00,0.00,0.00,12,161,1337
93,1000,0.00,0.00,0.00,14,189,1319
94,1000,0.00,0.00,0.00,11,178,1327
95,1000,0.00,0.00,0.00,8,202,1321
96,1000,0.00,0.00,0.00,12,170,1329
97,1000,0.00,0.00,0.00,10,184,1339
98,1000,0.00,0.00,0.00,13,198,1345
99,1000,0.00,0.00,0.00,14,177,1333
100,1000,0.00,0.00,0.00,14,168,1333
101,1000,0.00,0.00,0.00,20,155,1319
102,1000,0.00,0.00,0.00,9,190,1329
103,1000,0.00,0.00,0.00,13,152,1321
104,1000,0.00,0.00,0.00,7,192,1323
105,1000,0.00,0.00,0.00,9,154,1329
106,1000,0.00,0.00,0.00,10,154,1335
107,1000,0.00,0.00,0.00,9,192,1345
108,1000,0.00,0.00,0.00,16,164,1355
109,1000,0.00,0.00,0.00,13,198,1349
110,1000,0.00,0.00,0.00,10,171,1359
111,1000,0.00,0.00,0.00,14,132,1343
112,1000,0.00,0.00,0.00,9,187,1345
113,1000,0.00,0.00,0.00,10,183,1385
114,1000,0.00,0.00,0.00,14,187,1329
115,1000,0.00,0.00,0.00,18,197,1319
116,1000,0.00,0.00,0.00,16,236,1335
117,1000,0.00,0.00,0.00,11,214,1347
118,1000,0.00,0.00,0.00,13,196,1337
119,1000,0.00,0.00,0.00,9,164,1343
120,1000,0.00,0.00,0.00,13,189,1323
121,1000,0.00,0.00,0.00,13,153,1347
122,1000,0.00,0.00,0.00,14,184,1337
123,1000,0.00,0.00,0.00,9,169,1351
124,1000,0.00,0.00,0.00,8,195,1321
125,1000,0.00,0.00,0.00,11,179,1339
126,1000,0.00,0.00,0.00,12,197,1339
127,1000,0.00,0.00,0.00,10,196,1321
128,1000,0.00,0.00,0.00,13,194,1327
129,1000,0.00,0.00,0.00,17,182,1351
130,1000,0.00,0.00,0.00,13,144,1327
131,1000,0.00,0.00,0.00,13,156,1321
132,1000,0.00,0.00,0.00,7,210,1323
133,1000,0.00,0.00,0.00,11,219,1317
134,1000,0.00,0.00,0.00,15,186,1325
135,1000,0.00,0.00,0.00,19,227,1351
136,1000,0.00,0.00,0.00,9,145,1333
137,1000,0.00,0.00,0.00,14,202,1331
138,1000,0.00,0.00,0.00,14,178,1339
139,1000,0.00,0.00,0.00,14,148,1341
140,1000,0.00,0.00,0.00,10,211,1347
141,1000,0.00,0.00,0.00,14,171,1337
142,1000,0.00,0.00,0.00,12,149,1297
143,1000,0.00,0.00,0.00,13,176,1341
144,1000,0.00,0.00,0.00,10,204,1355
145,1000,0.00,0.00,0.00,9,188,1319
146,1000,0.00,0.00,0.00,16,176,1349
147,1000,0.00,0.00,0.00,13,158,1339
148,1000,0.00,0.00,0.00,5,193,1319
149,1000,0.00,0.00,0.00,16,189,1353
150,1000,0.00,0.00,0.00,13,212,1317
151,1000,0.00,0.00,0.00,12,198,1319
152,1000,0.00,0.00,0.00,9,185,1347
153,1000,0.00,0.00,0.00,14,184,1341
154,1000,0.00,0.00,0.00,13,228,1349
155,1000,0.00,0.00,0.00,17,191,1323
156,1000,0.00,0.00,0.00,15,173,1327
157,1000,0.00,0.00,0.00,16,206,1335
158,1000,0.00,0.00,0.00,15,170,1341
159,1000,0.00,0.00,0.00,12,204,1319
160,1000,0.00,0.00,0.00,11,172,1327
161,1000,0.00,0.00,0.00,13,200,1287
162,1000,0.00,0.00,0.00,10,190,1337
163,1000,0.00,0.00,0.00,6,161,1335
164,1000,0.00,0.00,0.00,10,188,1333
165,1000,0.00,0.00,0.00,6,162,1327
166,1000,0.00,0.00,0.00,18,242,1315
167,1000,0.00,0.00,0.00,12,143,1353
168,1000,0.00,0.00,0.00,15,161,1347
169,1000,0.00,0.00,0.00,12,205,1329
170,1000,0.00,0.00,0.00,14,196,1331
171,1000,0.00,0.00,0.00,7,166,1347
172,1000,0.00,0.00,0.00,11,167,1353
173,1000,0.00,0.00,0.00,11,195,1331
174,1000,0.00,0.00,0.00,13,158,1325
175,1000,0.00,0.00,0.00,11,206,1319
176,1000,0.00,0.00,0.00,10,170,1319
177,1000,0.00,0.00,0.00,14,173,1353
178,1000,0.00,0.00,0.00,7,166,1321
179,1000,0.00,0.00,0.00,17,147,1333
180,1000,0.00,0.00,0.00,15,193,1325
181,1000,0.00,0.00,0.00,11,212,1345
182,1000,0.00,0.00,0.00,11,148,1323
183,1000,0.00,0.00,0.00,12,179,1341
184,1000,0.00,0.00,0.00,13,149,1345
185,1000,0.00,0.00,0.00,5,173,1347
186,1000,0.00,0.00,0.00,11,204,1317
187,1000,0.00,0.00,0.00,11,150,1339
188,1000,0.00,0.00,0.00,16,175,1347
189,1000,0.00,0.00,0.00,16,181,1349
190,1000,0.00,0.00,0.00,12,189,1341
191,1000,0.00,0.00,0.00,11,153,1333
192,1000,0.00,0.00,0.00,13,135,1329
193,1000,0.00,0.00,0.00,14,171,1347
194,1000,0.00,0.00,0.00,17,152,1367
195,1000,0.00,0.00,0.00,11,140,1337
196,1000,0.00,0.00,0.00,14,171,1339
197,1000,0.00,0.00,0.00,11,179,1343
198,1000,0.00,0.00,0.00,20,173,1337
199,1000,0.00,0.00,0.00,17,202,1331
200,1000,0.00,0.00,0.00,8,157,1339
