Sample,Datasize,QuickSelect Time,DeterministicSelect Time,QuickSortSelect Time,QuickSelect Partitioning Stages,DeterministicSelect Partitioning Stages,QuicksSortSelect Partitioning Stages
1,10000,0.01,0.00,0.01,18,591,13409
2,10000,0.00,0.00,0.00,11,567,13307
3,10000,0.00,0.00,0.00,16,611,13267
4,10000,0.00,0.00,0.00,28,632,13393
5,10000,0.00,0.00,0.00,16,617,13347
6,10000,0.00,0.00,0.00,15,653,13387
7,10000,0.00,0.00,0.00,21,642,13321
8,10000,0.00,0.00,0.00,20,641,13319
9,10000,0.00,0.00,0.00,13,622,13265
10,10000,0.00,0.00,0.00,12,545,13331
11,10000,0.00,0.00,0.00,16,578,13385
12,10000,0.00,0.00,0.00,20,609,13375
13,10000,0.00,0.00,0.00,19,667,13323
14,10000,0.00,0.00,0.00,11,631,13371
15,10000,0.00,0.00,0.00,19,614,13393
16,10000,0.00,0.00,0.00,18,598,13355
17,10000,0.00,0.00,0.00,24,650,13343
18,10000,0.00,0.00,0.00,16,652,13357
19,10000,0.00,0.00,0.00,20,647,13373
20,10000,0.00,0.00,0.00,14,613,13385
21,10000,0.00,0.00,0.00,24,646,13383
22,10000,0.00,0.00,0.00,15,580,13311
23,10000,0.00,0.00,0.00,11,555,13363
24,10000,0.00,0.00,0.00,18,487,13349
25,10000,0.00,0.00,0.00,20,654,13321
26,10000,0.00,0.00,0.00,19,608,13389
27,10000,0.00,0.00,0.00,20,649,13297
28,10000,0.00,0.00,0.00,24,596,13429
29,10000,0.00,0.00,0.00,14,630,13339
30,10000,0.00,0.00,0.00,21,621,13361
31,10000,0.00,0.00,0.00,21,522,13309
32,10000,0.00,0.00,0.00,19,735,13401
33,10000,0.00,0.00,0.00,12,642,13367
34,10000,0.00,0.00,0.00,14,575,13339
35,10000,0.00,0.00,0.00,14,650,13331
36,10000,0.00,0.00,0.00,16,586,13337
37,10000,0.00,0.00,0.00,12,652,13363
38,10000,0.00,0.00,0.00,17,618,13323
39,10000,0.00,0.00,0.00,18,658,13373
40,10000,0.00,0.00,0.00,16,558,13373
41,10000,0.00,0.00,0.00,25,658,13297
42,10000,0.00,0.00,0.00,18,628,13359
43,10000,0.00,0.00,0.00,18,631,13271
44,10000,0.00,0.00,0.00,12,619,13277
45,10000,0.00,0.00,0.00,12,612,13369
46,10000,0.00,0.00,0.00,20,655,13315
47,10000,0.00,0.00,0.00,27,448,13317
48,10000,0.00,0.00,0.00,15,645,13361
49,10000,0.00,0.00,0.00,11,596,13393
50,10000,0.00,0.00,0.00,16,694,13319
51,10000,0.00,0.00,0.00,12,612,13391
52,10000,0.00,0.00,0.00,15,569,13419
53,10000,0.00,0.00,0.00,15,658,13269
54,10000,0.00,0.00,0.00,15,635,13365
55,10000,0.00,0.00,0.00,8,603,13387
56,10000,0.00,0.00,0.00,15,596,13289
57,10000,0.00,0.00,0.00,16,637,13359
58,10000,0.00,0.00,0.00,13,650,13327
59,10000,0.00,0.00,0.00,20,683,13429
60,10000,0.00,0.00,0.00,18,667,13217
61,10000,0.00,0.00,0.00,14,555,13383
62,10000,0.00,0.00,0.00,12,609,13315
63,10000,0.00,0.00,0.00,11,573,13367
64,10000,0.00,0.00,0.00,16,663,13331
65,10000,0.00,0.00,0.00,12,639,13389
66,10000,0.00,0.00,0.00,13,610,13315
67,10000,0.00,0.00,0.00,22,574,13391
68,10000,0.00,0.00,0.00,20,640,13383
69,10000,0.00,0.00,0.00,19,662,13235
70,10000,0.00,0.00,0.00,8,589,13371
71,10000,0.00,0.00,0.00,13,690,13297
72,10000,0.00,0.00,0.00,13,601,13221
73,10000,0.00,0.00,0.00,19,679,13377
74,10000,0.00,0.00,0.00,13,619,13319
75,10000,0.00,0.00,0.00,15,634,13337
76,10000,0.00,0.00,0.00,21,581,13387
77,10000,0.00,0.00,0.00,19,546,13339
78,10000,0.00,0.00,0.00,21,585,13343
79,10000,0.00,0.00,0.00,17,635,13351
80,10000,0.00,0.00,0.00,18,672,13465
81,10000,0.00,0.00,0.00,14,600,13377
82,10000,0.00,0.00,0.00,18,549,13389
83,10000,0.00,0.00,0.00,12,594,13329
84,10000,0.00,0.00,0.00,29,635,13333
85,10000,0.00,0.00,0.00,24,594,13361
86,10000,0.00,0.00,0.00,15,600,13409
87,10000,0.00,0.00,0.00,20,650,13385
88,10000,0.00,0.00,0.00,18,594,13311
89,10000,0.00,0.00,0.00,15,629,13339
90,10000,0.00,0.00,0.00,20,585,13285
91,10000,0.00,0.00,0.21,16,591,13325
92,10000,0.00,0.00,0.00,26,583,13299
93,10000,0.00,0.00,0.00,18,697,13327
94,10000,0.00,0.00,0.00,18,582,13327
95,10000,0.00,0.00,0.00,16,577,13259
96,10000,0.00,0.00,0.00,22,594,13311
97,10000,0.00,0.00,0.00,15,609,13335
98,10000,0.00,0.00,0.00,19,663,13335
99,10000,0.00,0.00,0.00,20,559,13389
100,10000,0.00,0.00,0.00,8,627,13317
101,10000,0.00,0.00,0.00,15,634,13351
102,10000,0.00,0.00,0.00,25,671,13365
103,10000,0.00,0.00,0.00,26,650,13373
104,10000,0.00,0.00,0.00,15,649,13271
105,10000,0.00,0.00,0.00,9,566,13373
106,10000,0.00,0.00,0.00,18,621,13403
107,10000,0.00,0.00,0.00,11,650,13269
108,10000,0.00,0.00,0.00,15,615,13315
109,10000,0.00,0.00,0.00,21,595,13387
110,10000,0.00,0.00,0.00,15,490,13305
111,10000,0.00,0.00,0.00,16,586,13305
112,10000,0.00,0.00,0.00,17,675,13277
113,10000,0.00,0.00,0.00,16,692,13385
114,10000,0.00,0.00,0.00,25,648,13335
115,10000,0.00,0.00,0.00,16,390,13279
116,10000,0.00,0.00,0.00,14,618,13273
117,10000,0.00,0.00,0.00,15,605,13293
118,10000,0.01,0.00,0.00,20,713,13365
119,10000,0.00,0.00,0.00,28,642,13265
120,10000,0.00,0.00,0.00,19,675,13305
121,10000,0.00,0.00,0.00,15,617,13331
122,10000,0.00,0.00,0.00,18,707,13363
123,10000,0.00,0.00,0.00,11,598,13371
124,10000,0.00,0.00,0.00,12,577,13367
125,10000,0.00,0.00,0.00,12,608,13319
126,10000,0.00,0.00,0.00,21,602,13353
127,10000,0.00,0.00,0.00,13,624,13307
128,10000,0.00,0.00,0.00,18,634,13345
129,10000,0.00,0.00,0.00,20,634,13343
130,10000,0.00,0.00,0.00,20,596,13353
131,10000,0.00,0.00,0.00,18,614,13349
132,10000,0.00,0.00,0.00,16,631,13319
133,10000,0.00,0.00,0.00,21,614,13259
134,10000,0.00,0.00,0.00,11,664,13377
135,10000,0.00,0.00,0.00,18,555,13333
136,10000,0.00,0.00,0.00,21,660,13481
137,10000,0.00,0.00,0.00,10,633,13339
138,10000,0.00,0.00,0.00,20,607,13355
139,10000,0.00,0.00,0.00,18,664,13357
140,10000,0.00,0.00,0.00,17,676,13321
141,10000,0.00,0.00,0.00,18,656,13383
142,10000,0.00,0.00,0.00,12,601,13349
143,10000,0.00,0.00,0.00,17,642,13319
144,10000,0.00,0.00,0.00,16,577,13337
145,10000,0.00,0.00,0.00,14,573,13331
146,10000,0.00,0.00,0.00,25,601,13261
147,10000,0.00,0.00,0.00,8,650,13297
148,10000,0.00,0.00,0.00,13,610,13335
149,10000,0.00,0.00,0.00,10,583,13331
150,10000,0.00,0.00,0.00,12,599,13293
151,10000,0.00,0.00,0.00,17,551,13325
152,10000,0.00,0.00,0.00,14,640,13379
153,10000,0.00,0.00,0.00,14,624,13369
154,10000,0.00,0.00,0.00,18,647,13303
155,10000,0.00,0.00,0.00,25,614,13345
156,10000,0.00,0.00,0.00,22,631,13407
157,10000,0.00,0.00,0.00,15,650,13317
158,10000,0.00,0.00,0.00,16,591,13387
159,10000,0.00,0.00,0.00,16,590,13435
160,10000,0.00,0.00,0.00,12,564,13265
